Date,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc
6/29/2012,1598.5,1259.6,127544.3,1019.2,1629.6,1513
7/2/2012,1592,1265.1,126309.3,1014.7,1622.3,1519.7
7/3/2012,1617.5,1283.1,129189.7,1031.7,1638.6,1541.2
7/4/2012,1613.5,1289.8,128749.2,1035.8,1633.7,1549.3
7/5/2012,1604,1295.5,128239.8,1033.4,1626.2,1556
7/6/2012,1587,1289.5,126214.1,1023.4,1616.9,1548.7
7/9/2012,1585,1288.7,126173.9,1021.1,1616.5,1547.6
7/10/2012,1595.3,1301.7,126774.5,1029.5,1628.5,1563.2
7/11/2012,1577,1287.4,125623.8,1013.4,1609.4,1545.9
7/12/2012,1556.3,1277.3,123332.8,1010.3,1594.8,1533.8
7/13/2012,1595.5,1303.1,126379.5,1026.3,1617.8,1564.9
7/16/2012,1589.8,1298.8,125176.9,1017.9,1614.9,1559.9
7/17/2012,1585.3,1298,125226.8,1018.1,1611.6,1558.9
7/18/2012,1575.3,1284.4,124247.8,1008.3,1592.3,1542.5
7/19/2012,1584,1291.9,124549.9,1008.3,1595.5,1551.5
7/20/2012,1576.3,1295.5,123838.1,1008.3,1592.4,1555.7
7/23/2012,1572.3,1297.6,123264.4,1013.6,1599.8,1558.3
7/24/2012,1583.3,1310.1,123841.8,1019.7,1614.4,1573.4
7/25/2012,1601,1320.6,125230.2,1034.7,1632.1,1586
7/26/2012,1618,1315.4,126592.3,1030.7,1633.8,1579.8
7/27/2012,1618.3,1308.2,127243,1029.8,1627.6,1570.9
7/30/2012,1617.8,1321.4,126491.9,1030.8,1622.2,1587.2
7/31/2012,1622,1317,126678.2,1035.2,1625.7,1582.2
8/1/2012,1599,1300.3,125105.7,1025.8,1600.5,1562.4
8/2/2012,1597,1313.4,124909.3,1029.1,1603.5,1577.7
8/3/2012,1602,1298.2,125909.2,1027,1601.4,1559.5
8/6/2012,1610,1297,125966.4,1031,1609.1,1558
8/7/2012,1611,1297.1,126721.2,1029.4,1605.8,1558.5
8/8/2012,1613.3,1305.5,126414.2,1030.2,1605.1,1568.2
8/9/2012,1615,1312,127060.1,1033,1601.7,1575.8
8/10/2012,1618.5,1314.4,126550.5,1031.5,1604,1578.3
8/13/2012,1622.5,1313.6,127074.2,1033.2,1611.4,1577.6
8/14/2012,1597.8,1296.7,125886.7,1018.6,1584.7,1557.3
8/15/2012,1601.8,1304.1,126314,1020.5,1585.2,1566.3
8/16/2012,1604.5,1297.8,127180.7,1019.2,1585.6,1558.7
8/17/2012,1614.8,1313.1,128404.9,1030,1595.8,1577
8/20/2012,1615,1308.6,128182.5,1028.4,1597.6,1571.7
8/21/2012,1639.5,1313.7,130127.1,1038.7,1615.6,1577.9
8/22/2012,1642,1317,130128.5,1039,1630.5,1581.6
8/23/2012,1665.3,1323.4,130522.3,1048.2,1651.2,1589.3
8/24/2012,1667,1331.8,131109.5,1054.1,1654.2,1599.2
8/27/2012,1667,1331.8,131134.5,1055.1,1650.1,1599.7
8/28/2012,1668,1327.3,130938,1053.7,1643.8,1593.9
