date,price
12/30/2011,1531
1/2/2012,1531
1/3/2012,1598
1/4/2012,1613
1/5/2012,1599
1/6/2012,1616.5
1/9/2012,1615
1/10/2012,1637
1/11/2012,1634.5
1/12/2012,1661
1/13/2012,1635.5
1/16/2012,1641
1/17/2012,1656
1/18/2012,1647
1/19/2012,1655
1/20/2012,1653
1/23/2012,1675.5
1/24/2012,1665.5
1/25/2012,1650
1/26/2012,1727
1/27/2012,1726
1/30/2012,1729
1/31/2012,1744
2/1/2012,1740
2/2/2012,1751
2/3/2012,1734
2/6/2012,1719
2/7/2012,1724
2/8/2012,1746
2/9/2012,1748
2/10/2012,1711.5
2/13/2012,1720
2/14/2012,1722
2/15/2012,1733
2/16/2012,1713
2/17/2012,1723
2/20/2012,1733
2/21/2012,1748
2/22/2012,1752
2/23/2012,1777
2/24/2012,1777.5
2/27/2012,1772
2/28/2012,1781
2/29/2012,1770
3/1/2012,1714
3/2/2012,1707
3/5/2012,1705
3/6/2012,1669
3/7/2012,1677.5
3/8/2012,1690
3/9/2012,1687.5
3/12/2012,1697.5
3/13/2012,1690
3/14/2012,1644.3
3/15/2012,1648
3/16/2012,1658
3/19/2012,1661.5
3/20/2012,1656.8
3/21/2012,1649.3
3/22/2012,1635.5
3/23/2012,1664
3/26/2012,1680.3
3/27/2012,1692
3/28/2012,1676
3/29/2012,1657.5
3/30/2012,1662.5
4/2/2012,1677.5
4/3/2012,1676.3
4/4/2012,1621
4/5/2012,1631
4/6/2012,1631
4/9/2012,1631
4/10/2012,1644
4/11/2012,1658
4/12/2012,1668.5
4/13/2012,1666.5
4/16/2012,1653
4/17/2012,1635.5
4/18/2012,1644
4/19/2012,1650
4/20/2012,1641.5
4/23/2012,1629
4/24/2012,1649.5
4/25/2012,1637.8
4/26/2012,1653.5
4/27/2012,1663.5
4/30/2012,1651.3
5/1/2012,1664
5/2/2012,1648
5/3/2012,1637.8
5/4/2012,1643.8
5/7/2012,1643.8
5/8/2012,1602.5
5/9/2012,1582.5
5/10/2012,1598.5
5/11/2012,1583
5/14/2012,1558.5
5/15/2012,1556.5
5/16/2012,1548.5
5/17/2012,1554
5/18/2012,1589.5
5/21/2012,1592.5
5/22/2012,1582.5
5/23/2012,1549
5/24/2012,1568.5
5/25/2012,1569.5
5/28/2012,1574.6
5/29/2012,1579.5
5/30/2012,1540
5/31/2012,1558
6/1/2012,1606
6/4/2012,1606
6/5/2012,1606
6/6/2012,1635
6/7/2012,1606
6/8/2012,1576.5
6/11/2012,1584
6/12/2012,1603.5
6/13/2012,1619.5
6/14/2012,1613.5
6/15/2012,1627.3
6/18/2012,1615.5
6/19/2012,1625.5
6/20/2012,1601
6/21/2012,1582
6/22/2012,1565.5
6/25/2012,1570
6/26/2012,1576
6/27/2012,1573.5
6/28/2012,1558.5
6/29/2012,1598.5
7/2/2012,1592
7/3/2012,1617.5
7/4/2012,1613.5
7/5/2012,1604
7/6/2012,1587
7/9/2012,1585
7/10/2012,1595.3
7/11/2012,1577
7/12/2012,1556.3
7/13/2012,1595.5
7/16/2012,1589.8
7/17/2012,1585.3
7/18/2012,1575.3
7/19/2012,1584
7/20/2012,1576.3
7/23/2012,1572.3
7/24/2012,1583.3
7/25/2012,1601
7/26/2012,1618
7/27/2012,1618.3
7/30/2012,1617.8
7/31/2012,1622
8/1/2012,1599
